"tconst" "averageRating" "numVotes" "titleType" "primaryTitle" "originalTitle" "isAdult" "startYear" "endYear" "runtimeMinutes" "genres"
"tt0064428" 7 60 "movie" "Hibotan bakuto: Tekkaba retsuden" "Hibotan bakuto: Tekkaba retsuden" 0 1969 NA 110 "Action,Crime"
"tt0340376" 6.2 4734 "movie" "The Statement" "The Statement" 0 2003 NA 120 "Drama,Thriller"
"tt0082083" 4.5 2121 "movie" "Blood Beach" "Blood Beach" 0 1980 NA 92 "Comedy,Horror,Sci-Fi"
"tt0079470" 8.1 349393 "movie" "Monty Python's Life of Brian" "Life of Brian" 0 1979 NA 94 "Comedy"
"tt0195375" 3.9 27 "movie" "The Usual Children" "The Usual Children" 0 1997 NA 92 "Adventure,Family,Fantasy"
"tt4335354" 5.4 13 "movie" "The Other Side of the Lake the Purple Girl: Episode IV-The New Visitor" "The Other Side of the Lake the Purple Girl: Episode IV-The New Visitor" 0 2015 NA 120 "Sci-Fi"
"tt3078242" 7.1 6233 "movie" "Miss Violence" "Miss Violence" 0 2013 NA 98 "Drama"
"tt1315350" 6.8 4280 "movie" "Cherry" "Cherry" 0 2010 NA 99 "Comedy,Drama"
"tt4381018" 7.5 19 "movie" "Edison" "Edison" 0 2015 NA 113 NA
"tt0291397" 4.8 10 "movie" "OL renzoku rape: Kyonyû musaboru" "OL renzoku rape: Kyonyû musaboru" 0 1990 NA 60 "Crime"
"tt6692840" 5.5 19 "movie" "Du soleil dans mes yeux" "Du soleil dans mes yeux" 0 2018 NA 86 "Romance"
"tt0031802" 7.2 18 "movie" "Podnyataya tselina" "Podnyataya tselina" 0 1940 NA 118 "Drama"
"tt6413160" 7.6 5 "movie" "Chance" "Chance" 0 2018 NA 90 "Drama"
"tt0231411" 3.6 7 "movie" "DS 70 nevyjizdi" "DS 70 nevyjizdi" 0 1951 NA 72 NA
"tt2187972" 4.2 988 "movie" "Shirin Farhad Ki Toh Nikal Padi" "Shirin Farhad Ki Toh Nikal Padi" 0 2012 NA 111 "Romance"
"tt2209626" 6.5 56 "movie" "Church Girl" "Church Girl" 0 2011 NA 131 "Drama"
"tt4692368" 7.6 2850 "movie" "Jawani Phir Nahi Ani" "Jawani Phir Nahi Ani" 0 2015 NA 156 "Adventure,Comedy,Musical"
"tt0282868" 4.4 7 "movie" "La puerta falsa" "La puerta falsa" 0 1977 NA 120 "Action,Crime,Drama"
"tt1856698" 7.2 22 "movie" "Gilgamesh Pearl" "Gilgamesh Pearl" 0 2011 NA 70 "Action,Comedy"
"tt1653064" 3.7 112 "movie" "Serena and the Ratts" "Serena and the Ratts" 0 2012 NA 97 "Action,Drama,Sci-Fi"
"tt6012410" 6.2 189 "movie" "Hotel Rock'n'Roll" "Hotel Rock'n'Roll" 0 2016 NA 100 "Comedy"
"tt2335096" 9 24 "movie" "Crossing Bhutan" "Crossing Bhutan" 0 2016 NA 60 "Adventure,Documentary,Family"
"tt0378417" 5.6 2597 "movie" "Night of the Living Dorks" "Die Nacht der lebenden Loser" 0 2004 NA 89 "Comedy,Horror"
"tt0923764" 7.4 37 "movie" "Kupredu levá, kupredu pravá" "Kupredu levá, kupredu pravá" 0 2006 NA 72 "Documentary"
"tt0125967" 3.1 9 "movie" "The Only Way to Spy" "The Only Way to Spy" 0 1978 NA 79 "Comedy"
"tt0046504" 8.1 523 "movie" "Vesna" "Vesna" 0 1953 NA 96 "Comedy,Romance"
"tt0338953" 8.3 40 "movie" "El efecto Iguazú" "El efecto Iguazú" 0 2002 NA 90 "Documentary"
"tt2179136" 7.3 418137 "movie" "American Sniper" "American Sniper" 0 2014 NA 133 "Action,Biography,Drama"
"tt0102470" 7.7 23 "movie" "The Prince's Death" "A Morte do Príncipe" 0 1991 NA 62 "Drama,Fantasy"
"tt8948790" 8.6 4838 "movie" "Jersey" "Jersey" 0 2019 NA 157 "Drama,Sport"
"tt0447893" 4.7 15 "movie" "Chastity" "Chastity" 0 2005 NA 80 "Drama"
"tt0441853" 7.4 21 "movie" "Delitto sul Po" "Delitto sul Po" 0 2001 NA 75 "Crime"
"tt0141441" 7.4 64 "movie" "Jogan" "Jogan" 0 1950 NA 116 "Drama,Musical,Romance"
"tt3544008" 5.8 913 "movie" "Boy 7" "Boy 7" 0 2015 NA 108 "Drama,Mystery,Sci-Fi"
"tt0819386" 8 25 "movie" "Shamelove" "Shamelove" 0 2006 NA 94 "Drama"
"tt0273514" 4.4 33 "movie" "The Cutting" "The Cutting" 0 2000 NA 90 "Thriller"
"tt0319728" 5.6 3668 "movie" "The Last Horror Movie" "The Last Horror Movie" 0 2003 NA 80 "Horror,Thriller"
"tt1756672" 6.2 79 "movie" "Pegasus" "Pegase" 0 2010 NA 104 "Drama"
"tt0447355" 4.4 8 "movie" "Perekond Männard" "Perekond Männard" 0 1960 NA 92 "Drama"
"tt1349485" 7.1 33 "movie" "The Knife of Don Juan" "La navaja de Don Juan" 0 2013 NA 99 "Comedy,Drama"
"tt0201112" 5 12 "movie" "Shingo juban-shobu" "Shingo juban-shobu" 0 1959 NA 97 "Adventure,Drama"
"tt0393879" 3.9 10 "movie" "Tiger Harischandra Prasad" "Tiger Harischandra Prasad" 0 2003 NA 180 "Drama"
"tt0321310" 8.6 19 "movie" "Detained" "Asurot" 0 2001 NA 75 "Documentary"
"tt0051492" 6.6 151 "movie" "Count Five and Die" "Count Five and Die" 0 1957 NA 91 "Drama,History,Thriller"
"tt2370378" 4.3 601 "movie" "Baby Blues" "Bejbi blues" 0 2012 NA 100 "Drama"
"tt0198437" 4.7 64 "movie" "Easier Said" "Easier Said" 0 1999 NA 94 "Comedy,Drama,Romance"
"tt0277903" 6.4 9 "movie" "Morir de madrugada" "Morir de madrugada" 0 1980 NA 90 "Crime,Drama,Mystery"
"tt0112913" 7.7 22946 "movie" "Fallen Angels" "Do lok tin si" 0 1995 NA 99 "Comedy,Crime,Drama"
"tt0387812" 5.1 11 "movie" "Abrazos, tango en Buenos Aires" "Abrazos, tango en Buenos Aires" 0 2003 NA 85 "Documentary,Musical"
"tt0086113" 5.9 2149 "movie" "The Pit" "The Pit" 0 1981 NA 96 "Horror,Mystery"
"tt0262678" 5.5 11 "movie" "Pata de palo" "Pata de palo" 0 1950 NA 94 "Crime,Drama,Thriller"
"tt0078893" 7.3 87 "movie" "Dead End" "Bon Bast" 0 1977 NA 95 "Drama"
"tt0207522" 5.8 5 "movie" "Hot Cousins" "Hot Cousins" 1 1994 NA 76 "Adult"
"tt0040834" 7.2 3311 "movie" "State of the Union" "State of the Union" 0 1948 NA 124 "Comedy,Drama"
"tt2387471" 4.8 8 "movie" "Forty Shades of Grey" "Forty Shades of Grey" 0 2012 NA 87 "Documentary,News"
"tt0071202" 4.1 119 "movie" "Beim Jodeln juckt die Lederhose" "Beim Jodeln juckt die Lederhose" 0 1974 NA 85 "Comedy"
"tt3539250" 5.5 21 "movie" "Rise Up! And Dance" "Rise Up! And Dance" 0 2014 NA 85 "Comedy,Music,Romance"
"tt1099227" 5.6 2676 "movie" "If I Were You 2" "Se Eu Fosse Você 2" 0 2009 NA 96 "Comedy"
"tt0159415" 5.8 128 "movie" "A Sweet Scent of Death" "Un dulce olor a muerte" 0 1999 NA 98 "Drama,Mystery"
"tt2265381" 7.3 1503 "movie" "Ishq" "Ishq" 0 2012 NA 160 "Comedy,Romance"
"tt0182504" 6.4 60 "movie" "Las turistas quieren guerra" "Las turistas quieren guerra" 0 1977 NA 85 "Comedy"
"tt0153352" 6.5 34 "movie" "Twilite Pink" "Twilite Pink" 1 1981 NA 80 "Adult,Fantasy"
"tt0447692" 5.5 63 "movie" "Réfractaire" "Réfractaire" 0 2009 NA 97 "Drama"
"tt0175526" 5.2 11764 "movie" "Cherry Falls" "Cherry Falls" 0 2000 NA 92 "Horror,Mystery,Thriller"
"tt0293672" 5 403 "movie" "Les côtelettes" "Les côtelettes" 0 2003 NA 86 "Comedy,Drama"
"tt0181003" 7 42 "movie" "Siroko je lisce" "Siroko je lisce" 0 1981 NA 106 "War"
"tt0034909" 6.4 137 "movie" "Jackass Mail" "Jackass Mail" 0 1942 NA 79 "Action,Adventure,Romance"
"tt0037766" 5.3 10 "movie" "Hasta que perdió Jalisco" "Hasta que perdió Jalisco" 0 1945 NA 115 "Comedy,Drama,Musical"
"tt0255228" 6.4 67 "movie" "Ta hronia tis thyellas" "Ta hronia tis thyellas" 0 1984 NA 113 "Adventure,Drama,History"
"tt0191153" 7.9 7 "movie" "Die Gejagten" "Die Gejagten" 0 1961 NA 94 "Crime"
"tt1496458" 5.6 107 "movie" "The Wish Tree" "Soovide puu" 0 2008 NA 86 "Drama"
"tt1187041" 6.4 6170 "movie" "The Answer Man" "Arlen Faber" 0 2009 NA 97 "Comedy,Romance"
"tt1423343" 7.5 8 "movie" "Bob vs. Society" "Bob vs. Society" 0 2009 NA 90 "Comedy"
"tt3730650" 7.6 105 "movie" "Maracaná" "Maracaná" 0 2014 NA 75 "Documentary,Sport"
"tt10533078" 5.5 145 "movie" "J'irai où tu iras" "J'irai où tu iras" 0 2019 NA 100 "Comedy,Drama"
"tt2917382" 6.5 225 "movie" "Veera Madakari" "Veera Madakari" 0 2009 NA 175 "Action"
"tt0108071" 7.3 34653 "movie" "The Secret Garden" "The Secret Garden" 0 1993 NA 101 "Drama,Family,Fantasy"
"tt2402705" 7.6 91 "movie" "El efecto K. El montador de Stalin" "El efecto K. El montador de Stalin" 0 2012 NA 130 "Adventure,Drama,History"
"tt11018424" 7.4 19 "movie" "If It Were Love" "Si c'était de l'amour" 0 2020 NA 82 "Documentary"
"tt0209359" 3.6 5 "movie" "Blood Story" "Blood Story" 0 1972 NA 96 "Crime,Horror"
"tt3243876" 6.3 7 "movie" "Orajnoitik Noy" "Orajnoitik Noy" 0 2013 NA 118 "Drama,Fantasy,Thriller"
"tt5145662" 5.4 249 "movie" "Monsters at Large" "Monsters at Large" 0 2018 NA 91 "Family"
"tt7304194" 5.5 124 "movie" "Notes on an Appearance" "Notes on an Appearance" 0 2018 NA 60 "Drama,Mystery,Thriller"
"tt6685610" 6.7 120 "movie" "Off Track" "Off Track" 0 2017 NA 93 "Drama"
"tt6974196" 5.9 224 "movie" "The Family House" "La casa di famiglia" 0 2017 NA 90 "Comedy"
"tt0875611" 8.4 11 "movie" "Public Interest" "Public Interest" 0 2008 NA 85 "Comedy"
"tt2324126" 2.5 21 "movie" "Doctor Innocentanu" "Doctor Innocentanu" 0 2012 NA 142 "Comedy,Drama"
"tt1822204" 5.5 59 "movie" "Decision" "Decision" 0 2012 NA 90 "Drama,Family"
"tt3843110" 7.9 23 "movie" "Love & Faith" "Love & Faith" 0 2015 NA 100 "Biography,Drama"
"tt0223083" 6.8 23 "movie" "La dama del alba" "La dama del alba" 0 1950 NA 88 "Drama,Fantasy,Mystery"
"tt1820598" 7.3 40 "movie" "People v. The State of Illusion" "People v. The State of Illusion" 0 2012 NA 80 "Documentary,Drama"
"tt0020121" 7.5 70 "movie" "Lucky Boy" "Lucky Boy" 0 1929 NA 77 "Comedy,Drama,Musical"
"tt6000744" 6.2 294 "movie" "Children of the Night" "I figli della notte" 0 2016 NA 85 "Drama"
"tt7434928" 6.2 157 "movie" "Amin" "Amin" 0 2018 NA 91 "Drama"
"tt1425625" 3.2 125 "movie" "Shaban El Fares" "Shaban El Fares" 0 2008 NA 99 "Comedy,Crime"
"tt0053333" 7.1 664 "movie" "The Overtaxed" "I tartassati" 0 1959 NA 105 "Comedy"
"tt0076590" 6.3 14570 "movie" "Rabid" "Rabid" 0 1977 NA 91 "Horror,Sci-Fi"
"tt6330122" 8.7 498 "movie" "Mr. Plinkett's Indiana Jones and the Kingdom of the Crystal Skull Review" "Mr. Plinkett's Indiana Jones and the Kingdom of the Crystal Skull Review" 0 2011 NA 70 "Comedy"
"tt0065205" 5.2 295 "movie" "What's Good for the Goose" "What's Good for the Goose" 0 1969 NA 105 "Comedy"
"tt0324107" 5.5 119 "movie" "Los suicidas" "Los suicidas" 0 2005 NA 80 "Mystery"
"tt4549982" 7.3 6 "movie" "I Named You Afarin" "I Named You Afarin" 0 2014 NA 97 "Drama"
"tt0160230" 7.8 6 "movie" "Drei wunderschöne Tage" "Drei wunderschöne Tage" 0 1939 NA 80 NA
"tt0055716" 6.3 20 "movie" "...und deine Liebe auch" "...und deine Liebe auch" 0 1962 NA 92 "Drama,Romance"
"tt1229435" 6.6 24 "movie" "Israel Ltd." "Israel Ltd." 0 2009 NA 90 "Documentary"
"tt0128278" 6.6 30876 "movie" "Instinct" "Instinct" 0 1999 NA 126 "Drama,Thriller"
"tt0443512" 6.3 292 "movie" "Forgiving the Franklins" "Forgiving the Franklins" 0 2006 NA 101 "Comedy,Drama"
"tt5515490" 5.7 10 "movie" "Bir Soinik" "Bir Soinik" 0 2003 NA 135 "Action,Drama,Romance"
